类别,股票代码,日期,快线强弱,红柱数量,大陆代码
golden,600218,2019-07-30,down0,1,sh.600218
golden,600220,2019-07-26,down0,3,sh.600220
golden,600226,2019-07-30,down0,1,sh.600226
golden,600233,2019-07-25,down0,4,sh.600233
golden,600234,2019-07-26,down0,3,sh.600234
golden,600236,2019-07-22,up0,7,sh.600236
golden,600237,2019-07-29,up0,2,sh.600237
golden,600246,2019-07-24,down0,5,sh.600246
golden,600249,2019-07-24,down0,5,sh.600249
golden,600257,2019-07-26,down0,3,sh.600257
golden,600260,2019-07-29,down0,2,sh.600260
golden,600267,2019-07-29,down0,2,sh.600267
golden,600271,2019-07-26,down0,3,sh.600271
golden,600278,2019-07-24,down0,5,sh.600278
golden,600280,2019-07-30,down0,1,sh.600280
golden,600284,2019-07-26,down0,3,sh.600284
golden,600298,2019-07-29,down0,2,sh.600298
golden,600299,2019-07-25,down0,4,sh.600299
golden,600301,2019-07-23,down0,6,sh.600301
golden,600302,2019-07-30,down0,1,sh.600302
golden,600309,2019-07-26,up0,3,sh.600309
golden,600312,2019-07-25,up0,4,sh.600312
golden,600327,2019-07-30,down0,1,sh.600327
golden,600330,2019-07-29,down0,2,sh.600330
golden,600336,2019-07-26,down0,3,sh.600336
golden,600337,2019-07-16,down0,11,sh.600337
golden,600346,2019-07-30,down0,1,sh.600346
golden,600350,2019-07-30,up0,1,sh.600350
golden,600351,2019-07-30,down0,1,sh.600351
golden,600352,2019-07-29,down0,2,sh.600352
golden,600353,2019-07-24,down0,5,sh.600353
golden,600355,2019-07-26,down0,3,sh.600355
golden,600356,2019-07-24,down0,5,sh.600356
golden,600358,2019-07-30,down0,1,sh.600358
golden,600368,2019-07-26,down0,3,sh.600368
golden,600373,2019-07-25,down0,4,sh.600373
golden,600377,2019-07-30,up0,1,sh.600377
golden,600383,2019-07-30,up0,1,sh.600383
golden,600386,2019-07-30,down0,1,sh.600386
golden,600390,2019-07-30,down0,1,sh.600390
golden,600392,2019-07-30,down0,1,sh.600392
golden,600398,2019-07-24,down0,5,sh.600398
golden,600399,2019-07-29,down0,2,sh.600399
golden,600406,2019-07-24,down0,5,sh.600406
golden,600410,2019-07-25,down0,4,sh.600410
golden,600416,2019-07-30,down0,1,sh.600416
golden,600418,2019-07-29,down0,2,sh.600418
golden,600422,2019-07-30,down0,1,sh.600422
golden,600426,2019-07-25,up0,4,sh.600426
golden,600435,2019-07-30,up0,1,sh.600435
golden,600438,2019-07-19,down0,8,sh.600438
golden,600448,2019-07-26,down0,3,sh.600448
golden,600460,2019-07-29,down0,2,sh.600460
golden,600461,2019-07-30,down0,1,sh.600461
golden,600462,2019-07-26,down0,3,sh.600462
golden,600479,2019-07-12,up0,13,sh.600479
golden,600483,2019-07-26,down0,3,sh.600483
golden,600486,2019-07-26,up0,3,sh.600486
golden,600487,2019-07-30,down0,1,sh.600487
golden,600498,2019-07-26,down0,3,sh.600498
golden,600499,2019-07-30,down0,1,sh.600499
golden,600501,2019-07-29,down0,2,sh.600501
golden,600508,2019-07-30,down0,1,sh.600508
golden,600516,2019-07-30,down0,1,sh.600516
golden,600522,2019-07-30,down0,1,sh.600522
golden,600527,2019-07-30,down0,1,sh.600527
golden,600533,2019-07-29,down0,2,sh.600533
golden,600543,2019-07-30,down0,1,sh.600543
golden,600545,2019-07-24,down0,5,sh.600545
golden,600546,2019-07-25,up0,4,sh.600546
golden,600548,2019-07-26,down0,3,sh.600548
golden,600561,2019-07-26,down0,3,sh.600561
golden,600563,2019-07-26,up0,3,sh.600563
golden,600568,2019-07-26,down0,3,sh.600568
golden,600575,2019-07-30,down0,1,sh.600575
golden,600576,2019-07-29,down0,2,sh.600576
golden,600578,2019-07-30,down0,1,sh.600578
golden,600583,2019-07-29,down0,2,sh.600583
golden,600584,2019-07-19,down0,8,sh.600584
golden,600595,2019-05-31,down0,42,sh.600595
golden,600596,2019-07-30,down0,1,sh.600596
golden,600601,2019-07-30,down0,1,sh.600601
golden,600602,2019-07-30,down0,1,sh.600602
golden,600610,2019-05-06,down0,0,sh.600610
golden,600619,2019-07-29,down0,2,sh.600619
golden,600620,2019-07-30,down0,1,sh.600620
golden,600622,2019-07-29,down0,2,sh.600622
golden,600628,2019-07-25,up0,4,sh.600628
golden,600629,2019-07-26,down0,3,sh.600629
golden,600630,2019-07-30,down0,1,sh.600630
golden,600633,2019-07-19,down0,8,sh.600633
golden,600634,2019-07-30,down0,1,sh.600634
golden,600637,2019-07-26,down0,3,sh.600637
golden,600643,2019-07-30,down0,1,sh.600643
golden,600644,2019-07-26,down0,3,sh.600644
golden,600645,2019-07-29,down0,2,sh.600645
golden,600647,2019-07-26,down0,3,sh.600647
golden,600648,2019-07-18,down0,9,sh.600648
golden,600650,2019-07-29,down0,2,sh.600650
golden,600651,2019-07-24,down0,5,sh.600651
golden,600652,2019-07-26,down0,3,sh.600652
golden,600654,2019-07-26,down0,3,sh.600654
golden,600655,2019-07-16,down0,11,sh.600655
golden,600662,2019-07-26,down0,3,sh.600662
golden,600663,2019-07-26,down0,3,sh.600663
golden,600664,2019-07-29,down0,2,sh.600664
golden,600667,2019-07-26,down0,3,sh.600667
golden,600673,2019-07-23,down0,6,sh.600673
golden,600674,2019-07-25,up0,4,sh.600674
golden,600675,2019-07-26,down0,3,sh.600675
golden,600676,2019-07-26,down0,3,sh.600676
golden,600679,2019-07-29,down0,2,sh.600679
golden,600682,2019-06-17,down0,32,sh.600682
golden,600687,2019-07-30,down0,1,sh.600687
golden,600689,2019-07-26,down0,3,sh.600689
golden,600695,2019-07-30,down0,1,sh.600695
golden,600697,2019-07-30,down0,1,sh.600697
golden,600703,2019-07-26,down0,3,sh.600703
golden,600706,2019-07-30,down0,1,sh.600706
golden,600715,2019-07-26,down0,3,sh.600715
golden,600716,2019-07-29,down0,2,sh.600716
golden,600717,2019-07-24,down0,5,sh.600717
golden,600721,2019-06-21,down0,28,sh.600721
golden,600724,2019-07-25,down0,4,sh.600724
golden,600728,2019-07-26,down0,3,sh.600728
golden,600737,2019-07-29,up0,2,sh.600737
golden,600740,2019-07-26,down0,3,sh.600740
golden,600741,2019-07-25,up0,4,sh.600741
golden,600742,2019-07-25,up0,4,sh.600742
golden,600747,2019-07-25,down0,4,sh.600747
golden,600757,2019-07-30,down0,1,sh.600757
golden,600761,2019-07-30,down0,1,sh.600761
golden,600764,2019-07-29,up0,2,sh.600764
golden,600766,2019-07-30,down0,1,sh.600766
golden,600767,2019-07-15,up0,12,sh.600767
golden,600769,2019-07-24,down0,5,sh.600769
golden,600770,2019-07-30,down0,1,sh.600770
golden,600775,2019-07-24,down0,5,sh.600775
golden,600784,2019-07-29,down0,2,sh.600784
golden,600787,2019-07-25,down0,4,sh.600787
golden,600790,2019-07-25,down0,4,sh.600790
golden,600793,2019-07-16,up0,11,sh.600793
golden,600794,2019-07-25,down0,4,sh.600794
golden,600804,2019-07-25,down0,4,sh.600804
golden,600805,2019-07-30,down0,1,sh.600805
golden,600811,2019-07-26,down0,3,sh.600811
golden,600812,2019-07-30,down0,1,sh.600812
golden,600814,2019-07-30,down0,1,sh.600814
golden,600820,2019-07-30,down0,1,sh.600820
golden,600822,2019-07-26,up0,3,sh.600822
golden,600825,2019-07-30,down0,1,sh.600825
golden,600830,2019-07-30,down0,1,sh.600830
golden,600831,2019-07-30,down0,1,sh.600831
golden,600835,2019-07-30,up0,1,sh.600835
golden,600838,2019-07-30,down0,1,sh.600838
golden,600843,2019-07-26,down0,3,sh.600843
golden,600845,2019-07-29,up0,2,sh.600845
golden,600850,2019-07-30,down0,1,sh.600850
golden,600851,2019-07-26,down0,3,sh.600851
golden,600862,2019-07-26,up0,3,sh.600862
golden,600863,2019-07-29,up0,2,sh.600863
golden,600867,2019-07-30,up0,1,sh.600867
golden,600872,2019-07-30,up0,1,sh.600872
golden,600875,2019-07-26,down0,3,sh.600875
golden,600879,2019-07-29,down0,2,sh.600879
golden,600880,2019-07-16,down0,11,sh.600880
golden,600882,2019-07-26,up0,3,sh.600882
golden,600886,2019-07-23,up0,6,sh.600886
golden,600891,2019-07-25,down0,4,sh.600891
golden,600900,2019-07-19,up0,8,sh.600900
golden,600901,2019-07-26,down0,3,sh.600901
golden,600917,2019-07-24,down0,5,sh.600917
golden,600926,2019-07-17,down0,10,sh.600926
golden,600939,2019-07-29,down0,2,sh.600939
golden,600959,2019-07-29,down0,2,sh.600959
golden,600963,2019-07-26,down0,3,sh.600963
golden,600966,2019-07-26,up0,3,sh.600966
golden,600967,2019-07-29,up0,2,sh.600967
golden,600977,2019-07-30,down0,1,sh.600977
golden,600978,2019-07-30,down0,1,sh.600978
golden,600986,2019-07-26,down0,3,sh.600986
golden,600989,2019-06-19,down0,30,sh.600989
golden,600990,2019-07-29,up0,2,sh.600990
golden,600996,2019-07-30,down0,1,sh.600996
golden,600997,2019-07-26,down0,3,sh.600997
golden,601001,2019-07-25,down0,4,sh.601001
golden,601002,2019-07-26,up0,3,sh.601002
golden,601005,2019-07-30,down0,1,sh.601005
golden,601006,2019-07-30,down0,1,sh.601006
golden,601008,2019-07-30,down0,1,sh.601008
golden,601009,2019-07-25,up0,4,sh.601009
golden,601010,2019-07-26,down0,3,sh.601010
golden,601028,2019-07-16,down0,11,sh.601028
golden,601099,2019-07-17,down0,10,sh.601099
golden,601100,2019-07-29,up0,2,sh.601100
golden,601101,2019-07-25,down0,4,sh.601101
golden,601138,2019-07-25,down0,4,sh.601138
golden,601139,2019-07-29,up0,2,sh.601139
golden,601158,2019-07-30,down0,1,sh.601158
golden,601166,2019-07-22,up0,7,sh.601166
golden,601169,2019-07-26,down0,3,sh.601169
golden,601186,2019-07-19,down0,8,sh.601186
golden,601208,2019-07-26,down0,3,sh.601208
golden,601225,2019-07-23,up0,6,sh.601225
golden,601228,2019-07-30,down0,1,sh.601228
golden,601229,2019-07-25,up0,4,sh.601229
golden,601231,2019-07-24,down0,5,sh.601231
golden,601258,2019-07-26,down0,3,sh.601258
golden,601288,2019-07-30,down0,1,sh.601288
golden,601328,2019-07-30,down0,1,sh.601328
golden,601333,2019-07-29,down0,2,sh.601333
golden,601390,2019-07-24,down0,5,sh.601390
golden,601515,2019-07-25,down0,4,sh.601515
golden,601577,2019-07-30,down0,1,sh.601577
golden,601595,2019-07-30,up0,1,sh.601595
golden,601607,2019-07-23,down0,6,sh.601607
golden,601611,2019-07-24,down0,5,sh.601611
golden,601669,2019-07-30,down0,1,sh.601669
golden,601677,2019-07-25,up0,4,sh.601677
golden,601700,2019-07-26,down0,3,sh.601700
golden,601718,2019-07-29,up0,2,sh.601718
golden,601766,2019-07-26,down0,3,sh.601766
golden,601777,2019-07-26,down0,3,sh.601777
golden,601818,2019-07-25,down0,4,sh.601818
golden,601838,2019-07-24,down0,5,sh.601838
golden,601857,2019-07-29,down0,2,sh.601857
golden,601869,2019-07-30,down0,1,sh.601869
golden,601882,2019-07-25,up0,4,sh.601882
golden,601888,2019-07-29,up0,2,sh.601888
golden,601900,2019-07-30,down0,1,sh.601900
golden,601908,2019-07-29,down0,2,sh.601908
golden,601985,2019-07-19,down0,8,sh.601985
golden,601988,2019-07-30,down0,1,sh.601988
golden,601990,2019-07-29,down0,2,sh.601990
golden,601991,2019-07-26,down0,3,sh.601991
golden,601997,2019-07-24,down0,5,sh.601997
golden,601998,2019-07-25,down0,4,sh.601998
golden,601999,2019-07-29,down0,2,sh.601999
golden,603002,2019-07-26,down0,3,sh.603002
golden,603008,2019-07-25,down0,4,sh.603008
golden,603010,2019-07-25,down0,4,sh.603010
golden,603019,2019-07-25,down0,4,sh.603019
golden,603021,2019-07-29,down0,2,sh.603021
golden,603023,2019-07-30,down0,1,sh.603023
golden,603029,2019-07-29,down0,2,sh.603029
golden,603032,2019-07-29,down0,2,sh.603032
golden,603033,2019-07-16,down0,11,sh.603033
golden,603039,2019-07-30,up0,1,sh.603039
golden,603042,2019-07-26,down0,3,sh.603042
golden,603045,2019-07-30,down0,1,sh.603045
golden,603056,2019-07-26,down0,3,sh.603056
golden,603058,2019-07-30,down0,1,sh.603058
golden,603059,2019-07-30,down0,1,sh.603059
golden,603066,2019-07-29,down0,2,sh.603066
golden,603079,2019-07-16,up0,11,sh.603079
golden,603083,2019-07-26,down0,3,sh.603083
golden,603085,2019-07-29,down0,2,sh.603085
golden,603086,2019-07-25,down0,4,sh.603086
golden,603088,2019-07-30,down0,1,sh.603088
golden,603090,2019-07-30,up0,1,sh.603090
golden,603099,2019-07-30,down0,1,sh.603099
golden,603105,2019-07-30,down0,1,sh.603105
golden,603110,2019-07-30,up0,1,sh.603110
golden,603117,2019-07-25,down0,4,sh.603117
golden,603127,2019-07-24,up0,5,sh.603127
golden,603133,2019-07-29,down0,2,sh.603133
golden,603138,2019-07-26,down0,3,sh.603138
golden,603159,2019-07-30,down0,1,sh.603159
golden,603161,2019-07-29,down0,2,sh.603161
golden,603168,2019-07-30,up0,1,sh.603168
golden,603169,2019-07-26,down0,3,sh.603169
golden,603178,2019-07-26,down0,3,sh.603178
golden,603185,2019-07-29,down0,2,sh.603185
golden,603214,2019-07-30,down0,1,sh.603214
golden,603220,2019-07-29,down0,2,sh.603220
golden,603222,2019-07-30,up0,1,sh.603222
golden,603239,2019-07-24,down0,5,sh.603239
golden,603268,2019-07-26,down0,3,sh.603268
golden,603278,2019-07-29,down0,2,sh.603278
golden,603286,2019-07-30,up0,1,sh.603286
golden,603298,2019-07-30,down0,1,sh.603298
golden,603300,2019-07-26,down0,3,sh.603300
golden,603303,2019-07-24,down0,5,sh.603303
golden,603306,2019-07-16,down0,11,sh.603306
golden,603309,2019-07-30,down0,1,sh.603309
golden,603313,2019-07-29,up0,2,sh.603313
golden,603315,2019-07-29,down0,2,sh.603315
golden,603318,2019-07-11,down0,14,sh.603318
golden,603320,2019-07-01,down0,22,sh.603320
golden,603326,2019-07-29,up0,2,sh.603326
golden,603327,2019-07-30,down0,1,sh.603327
golden,603328,2019-07-29,up0,2,sh.603328
golden,603337,2019-07-26,down0,3,sh.603337
golden,603339,2019-07-30,down0,1,sh.603339
golden,603345,2019-07-26,down0,3,sh.603345
golden,603356,2019-07-30,down0,1,sh.603356
golden,603357,2019-07-26,down0,3,sh.603357
golden,603378,2019-07-26,down0,3,sh.603378
golden,603385,2019-07-30,down0,1,sh.603385
golden,603386,2019-07-29,down0,2,sh.603386
golden,603396,2019-07-29,down0,2,sh.603396
golden,603421,2019-07-23,down0,6,sh.603421
golden,603429,2019-07-24,up0,5,sh.603429
golden,603444,2019-07-30,up0,1,sh.603444
golden,603496,2019-07-30,down0,1,sh.603496
golden,603515,2019-07-25,down0,4,sh.603515
golden,603516,2019-07-24,up0,5,sh.603516
golden,603517,2019-07-26,up0,3,sh.603517
golden,603519,2019-07-29,up0,2,sh.603519
golden,603533,2019-07-30,down0,1,sh.603533
golden,603535,2019-07-26,down0,3,sh.603535
golden,603536,2019-07-26,down0,3,sh.603536
golden,603555,2019-07-30,down0,1,sh.603555
golden,603556,2019-07-25,up0,4,sh.603556
golden,603558,2019-07-30,down0,1,sh.603558
golden,603559,2019-07-30,down0,1,sh.603559
golden,603583,2019-07-26,down0,3,sh.603583
golden,603586,2019-07-26,down0,3,sh.603586
golden,603595,2019-07-26,down0,3,sh.603595
golden,603602,2019-07-29,down0,2,sh.603602
golden,603607,2019-07-29,down0,2,sh.603607
golden,603611,2019-07-25,down0,4,sh.603611
golden,603628,2019-07-30,down0,1,sh.603628
golden,603629,2019-07-29,down0,2,sh.603629
golden,603630,2019-07-24,up0,5,sh.603630
golden,603633,2019-07-26,down0,3,sh.603633
golden,603636,2019-07-29,down0,2,sh.603636
golden,603648,2019-07-26,up0,3,sh.603648
golden,603655,2019-07-26,down0,3,sh.603655
golden,603666,2019-07-30,down0,1,sh.603666
golden,603667,2019-07-29,down0,2,sh.603667
golden,603668,2019-07-30,down0,1,sh.603668
golden,603676,2019-07-29,up0,2,sh.603676
golden,603677,2019-07-26,up0,3,sh.603677
golden,603685,2019-07-26,down0,3,sh.603685
golden,603707,2019-07-26,up0,3,sh.603707
golden,603708,2019-07-26,up0,3,sh.603708
golden,603711,2019-07-25,down0,4,sh.603711
golden,603722,2019-07-16,down0,11,sh.603722
golden,603726,2019-07-30,down0,1,sh.603726
golden,603730,2019-07-30,up0,1,sh.603730
golden,603737,2019-07-24,up0,5,sh.603737
golden,603757,2019-07-29,down0,2,sh.603757
golden,603768,2019-07-30,down0,1,sh.603768
golden,603773,2019-07-26,down0,3,sh.603773
golden,603776,2019-07-30,down0,1,sh.603776
golden,603790,2019-07-24,down0,5,sh.603790
golden,603799,2019-07-29,down0,2,sh.603799
golden,603801,2019-07-30,down0,1,sh.603801
golden,603803,2019-07-29,down0,2,sh.603803
golden,603806,2019-07-26,up0,3,sh.603806
golden,603816,2019-07-30,down0,1,sh.603816
golden,603819,2019-07-26,up0,3,sh.603819
golden,603822,2019-07-26,up0,3,sh.603822
golden,603823,2019-07-23,down0,6,sh.603823
golden,603825,2019-07-30,down0,1,sh.603825
golden,603828,2019-07-29,down0,2,sh.603828
golden,603843,2019-07-26,down0,3,sh.603843
golden,603859,2019-07-24,up0,5,sh.603859
golden,603860,2019-07-26,up0,3,sh.603860
golden,603866,2019-07-25,down0,4,sh.603866
golden,603871,2019-07-24,up0,5,sh.603871
golden,603878,2019-07-25,down0,4,sh.603878
golden,603880,2019-07-30,up0,1,sh.603880
golden,603881,2019-07-26,down0,3,sh.603881
golden,603888,2019-07-30,down0,1,sh.603888
golden,603890,2019-07-30,down0,1,sh.603890
golden,603898,2019-07-30,down0,1,sh.603898
golden,603901,2019-07-30,down0,1,sh.603901
golden,603906,2019-07-30,down0,1,sh.603906
golden,603909,2019-07-24,down0,5,sh.603909
golden,603918,2019-07-26,down0,3,sh.603918
golden,603920,2019-07-29,down0,2,sh.603920
golden,603928,2019-07-30,down0,1,sh.603928
golden,603963,2019-07-25,down0,4,sh.603963
golden,603978,2019-07-30,up0,1,sh.603978
golden,603989,2019-07-30,down0,1,sh.603989
golden,603997,2019-07-30,down0,1,sh.603997
golden,603999,2019-07-26,down0,3,sh.603999
